Date,Amount,GST Rate,GST Amount
2024-11-14,5.45,0.09,0.4905
2024-11-14,2.50,0.09,0.2250
2024-11-14,7.29,0.09,0.6561
2024-11-14,5.80,0.09,0.5220
2024-11-14,1.70,0.09,0.1530
2024-11-13,1.71,0.09,0.1539
2024-11-13,1.50,0.09,0.1350
2024-11-13,1.30,0.09,0.1170
2024-11-13,6.60,0.09,0.5940
2024-11-13,6.75,0.09,0.6075
2024-11-12,8.60,0.09,0.7740
2024-11-12,1.80,0.09,0.1620
2024-11-12,1.70,0.09,0.1530
2024-11-12,4.80,0.09,0.4320
2024-11-11,8.60,0.09,0.7740
2024-11-11,1.70,0.09,0.1530
2024-11-11,5.30,0.09,0.4770
2024-11-10,11.50,0.09,1.0350
2024-11-10,4.50,0.09,0.4050
2024-11-10,1.70,0.09,0.1530
2024-11-10,4.80,0.09,0.4320
2024-11-09,10.57,0.09,0.9513
2024-11-09,1.89,0.09,0.1701
2024-11-09,7.00,0.09,0.6300
2024-11-08,1.96,0.09,0.1764
2024-11-08,2.00,0.09,0.1800
2024-11-08,11.40,0.09,1.0260
2024-11-08,5.80,0.09,0.5220
2024-11-08,1.70,0.09,0.1530
2024-11-07,1.70,0.09,0.1530
2024-11-07,4.80,0.09,0.4320
2024-11-07,1.30,0.09,0.1170
2024-11-06,1.10,0.09,0.0990
2024-11-06,1.00,0.09,0.0900
2024-11-06,1.80,0.09,0.1620
2024-11-06,1.70,0.09,0.1530
2024-11-06,6.80,0.09,0.6120
2024-11-06,4.80,0.09,0.4320
2024-11-05,102.00,0.09,9.1800
2024-11-05,1.70,0.09,0.1530
2024-11-05,4.80,0.09,0.4320
2024-11-05,1.00,0.09,0.0900
2024-11-05,3.80,0.09,0.3420
2024-11-05,3.90,0.09,0.3510
2024-11-05,1.30,0.09,0.1170
2024-11-05,10.00,0.09,0.9000
2024-11-04,8.60,0.09,0.7740
2024-11-04,1.70,0.09,0.1530
2024-11-04,4.80,0.09,0.4320
2024-11-03,11.06,0.09,0.9954
2024-11-03,1.80,0.09,0.1620
2024-11-03,11.10,0.09,0.9990
2024-11-03,5.00,0.09,0.4500
2024-11-03,10.00,0.09,0.9000
2024-11-03,9.50,0.09,0.8550
2024-11-02,11.00,0.09,0.9900
2024-11-02,6.80,0.09,0.6120
2024-11-02,1.30,0.09,0.1170
2024-11-01,6.55,0.09,0.5895
2024-11-01,5.00,0.09,0.4500
2024-11-01,1.80,0.09,0.1620
2024-11-01,12.00,0.09,1.0800
2024-11-01,3.90,0.09,0.3510
2024-11-01,1.30,0.09,0.1170
2024-11-01,7.00,0.09,0.6300
2024-10-31,1.50,0.09,0.1350
2024-10-31,11.40,0.09,1.0260
2024-10-31,1.60,0.09,0.1440
2024-10-31,1.80,0.09,0.1620
2024-10-31,6.75,0.09,0.6075
2024-10-31,2.20,0.09,0.1980
2024-10-30,1.00,0.09,0.0900
2024-10-30,4.50,0.09,0.4050
2024-10-30,1.50,0.09,0.1350
2024-10-30,1.70,0.09,0.1530
2024-10-30,279.84,0.09,25.1856
2024-10-30,41.65,0.09,3.7485
2024-10-30,6.50,0.09,0.5850
2024-10-30,28.00,0.09,2.5200
2024-10-30,3.30,0.09,0.2970
2024-10-29,550.00,0.09,49.5000
2024-10-29,7.80,0.09,0.7020
2024-10-29,1.80,0.09,0.1620
2024-10-29,1.80,0.09,0.1620
2024-10-29,5.30,0.09,0.4770
2024-10-28,1.90,0.09,0.1710
2024-10-28,7.40,0.09,0.6660
2024-10-28,5.80,0.09,0.5220
2024-10-28,1.70,0.09,0.1530
2024-10-27,11.40,0.09,1.0260
2024-10-27,1.00,0.09,0.0900
2024-10-27,1.80,0.09,0.1620
2024-10-27,18.50,0.09,1.6650
2024-10-26,4.45,0.09,0.4005
2024-10-26,4.50,0.09,0.4050
2024-10-26,6.80,0.09,0.6120
2024-10-26,1.30,0.09,0.1170
2024-10-26,8.60,0.09,0.7740
2024-10-26,2.00,0.09,0.1800
2024-10-25,1.30,0.09,0.1170
2024-10-25,15.00,0.09,1.3500
2024-10-25,10.17,0.09,0.9153
2024-10-22,10.95,0.09,0.9855
2024-10-22,6.57,0.09,0.5913
2024-10-22,5.80,0.09,0.5220
2024-10-22,1.80,0.09,0.1620
2024-10-22,1.70,0.09,0.1530
2024-10-21,1.70,0.09,0.1530
2024-10-21,6.84,0.09,0.6156
2024-10-21,2.00,0.09,0.1800
2024-10-21,5.20,0.09,0.4680
