expenses list,,,,,,,,,,
Date and time,Category,Account,Amount in default currency,Default currency,Amount in account currency,Account currency,Transaction amount in transaction currency,Transaction currency,Tags,Comment
25/1/2025,Food,Main,3.80,SGD,3.80,SGD,,,,
25/1/2025,Leisure,Main,167.00,SGD,167.00,SGD,,,,Cs2 Skin 
24/1/2025,Food,Main,8.00,SGD,8.00,SGD,,,,beer
24/1/2025,Food,Main,7.40,SGD,7.40,SGD,,,,
24/1/2025,Food,Main,1.90,SGD,1.90,SGD,,,,
24/1/2025,Food,Main,1.70,SGD,1.70,SGD,,,,
24/1/2025,Food,Main,5.30,SGD,5.30,SGD,,,,
23/1/2025,Groceries,Main,7.50,SGD,7.50,SGD,,,,
23/1/2025,Food,Main,5.00,SGD,5.00,SGD,,,,
22/1/2025,Food,Main,2.00,SGD,2.00,SGD,,,,
22/1/2025,Food,Main,5.80,SGD,5.80,SGD,,,,
21/1/2025,Groceries,Main,4.15,SGD,4.15,SGD,,,,
21/1/2025,Groceries,Main,1.80,SGD,1.80,SGD,,,,
21/1/2025,Credit Card Bill,Main,122.00,SGD,122.00,SGD,,,,
20/1/2025,Groceries,Main,14.80,SGD,14.80,SGD,,,,
20/1/2025,Food,Main,5.30,SGD,5.30,SGD,,,,
19/1/2025,Food,Main,8.30,SGD,8.30,SGD,,,,b
19/1/2025,Food,Main,4.00,SGD,4.00,SGD,,,,
19/1/2025,Leisure,Main,1.20,SGD,1.20,SGD,,,,
18/1/2025,Food,Main,5.00,SGD,5.00,SGD,,,,
18/1/2025,Food,Main,16.20,SGD,16.20,SGD,,,,
18/1/2025,Transportation,Main,10.38,SGD,10.38,SGD,,,,
17/1/2025,Groceries,Main,4.16,SGD,4.16,SGD,,,,
17/1/2025,Food,Main,8.30,SGD,8.30,SGD,,,,
16/1/2025,Groceries,Main,18.12,SGD,18.12,SGD,,,,
16/1/2025,Food,Main,2.60,SGD,2.60,SGD,,,,
16/1/2025,Leisure,Main,21.02,SGD,21.02,SGD,,,,
16/1/2025,Food,Main,5.60,SGD,5.60,SGD,,,,
15/1/2025,Groceries,Main,11.51,SGD,11.51,SGD,,,,
15/1/2025,Food,Main,4.30,SGD,4.30,SGD,,,,
13/1/2025,Leisure,Main,9.77,SGD,9.77,SGD,,,,Laptop Stand
13/1/2025,Food,Main,5.00,SGD,5.00,SGD,,,,
13/1/2025,Groceries,Main,4.75,SGD,4.75,SGD,,,,
12/1/2025,Credit Card Bill,Main,50.00,SGD,50.00,SGD,,,,
12/1/2025,Food,Main,2.00,SGD,2.00,SGD,,,,
12/1/2025,Food,Main,14.00,SGD,14.00,SGD,,,,
11/1/2025,Groceries,Main,11.80,SGD,11.80,SGD,,,,toothpaste and eye drops
11/1/2025,Food,Main,0.55,SGD,0.55,SGD,,,,
11/1/2025,Food,Main,1.70,SGD,1.70,SGD,,,,
11/1/2025,Food,Main,11.88,SGD,11.88,SGD,,,,
10/1/2025,Health,Main,21.95,SGD,21.95,SGD,,,,Life insurance 
10/1/2025,Food,Main,7.40,SGD,7.40,SGD,,,,
10/1/2025,Food,Main,17.00,SGD,17.00,SGD,,,,
